Unnamed: 0,ID,TM,ME,PA,AE,SS
4617,161,0,1,0,T,63.0
4671,162,0,7,0,T,15.0
4673,162,0,8,1,T,15.0
4715,165,0,1,0,T,66.0
4741,166,0,1,0,T,61.0
4848,170,0,1,0,T,65.0
4885,171,0,2,0,T,65.0
4899,172,0,1,0,T,65.0
5377,188,0,9,1,T,37.0
5431,190,0,3,4,T,12.0
5525,193,0,2,2,T,61.0
5569,194,0,9,3,T,54.0
5570,194,0,9,4,T,40.0
5626,197,0,1,3,T,34.0
5651,198,0,9,2,T,16.0
5719,200,0,9,3,T,56.0
5791,202,0,9,3,T,65.0
5792,202,0,9,4,T,40.0
5846,204,0,5,0,T,42.0
5878,205,0,8,1,T,30.0
5881,205,0,9,4,T,38.0
5882,205,0,9,5,T,26.0
5913,206,0,9,1,T,48.0
5914,206,0,9,2,T,34.0
5915,206,0,9,3,T,60.0
5916,206,0,9,4,T,48.0
5979,209,0,1,4,T,28.0
5990,209,0,9,4,T,54.0
5991,209,0,9,5,T,26.0
6002,210,0,10,0,T,58.0
6027,210,0,9,4,T,12.0
6077,212,0,8,1,T,30.0
6169,215,0,8,1,T,30.0
6201,216,0,9,3,T,72.0
6202,216,0,9,4,T,44.0
6203,216,0,9,5,T,42.0
6283,220,0,0,4,T,34.0
6303,220,0,5,0,T,44.0
6309,220,0,9,3,T,72.0
6310,220,0,9,4,T,42.0
6311,220,0,9,5,T,32.0
6347,221,0,9,3,T,70.0
6348,221,0,9,4,T,40.0
6361,222,0,11,0,T,68.0
6583,229,0,9,3,T,59.0
6584,229,0,9,4,T,38.0
6655,231,0,9,4,T,12.0
6730,233,0,9,3,T,62.0
6880,239,0,0,0,T,81.0
7129,247,0,0,0,T,82.0
7140,247,0,11,0,T,70.0
7504,259,0,9,3,T,58.0
7536,261,0,0,0,T,82.0
7547,261,0,11,0,T,64.0
7571,262,0,0,0,T,80.0
7645,264,0,11,0,T,62.0
7687,266,0,0,0,T,82.0
7718,266,0,8,1,T,32.0
7886,273,0,0,0,T,73.0
8170,282,0,0,0,T,76.0
8205,283,0,1,2,T,72.0
8206,283,0,1,3,T,50.0
8207,283,0,1,4,T,32.0
8209,283,0,2,3,T,62.0
8210,283,0,2,4,T,50.0
8699,300,0,9,1,T,50.0
8721,301,0,6,0,T,6.0
8731,302,0,0,2,T,80.0
8732,302,0,0,3,T,65.0
8736,302,0,1,3,T,44.0
8740,302,0,2,1,T,83.0
8741,302,0,2,2,T,70.0
8742,302,0,2,3,T,59.0
8743,302,0,2,4,T,47.0
8747,302,0,9,1,T,42.0
8778,303,0,9,3,T,66.0
8791,304,0,10,0,T,52.0
8802,304,0,3,4,T,19.0
8809,304,0,7,1,T,32.0
8814,304,0,9,3,T,78.0
8815,304,0,9,4,T,58.0
8843,305,0,9,1,T,42.0
8844,305,0,9,2,T,25.0
8848,306,0,1,1,T,84.0
8850,306,0,1,3,T,52.0
8851,306,0,1,4,T,40.0
8856,306,0,2,4,T,39.0
8869,307,0,11,0,T,74.0
8887,307,0,9,2,T,23.0
8888,307,0,9,3,T,71.0
8919,308,0,7,0,T,34.0
8920,308,0,7,1,T,36.0
8924,308,0,9,2,T,23.0
8963,309,0,9,3,T,77.0
8964,309,0,9,4,T,48.0
8965,309,0,9,5,T,29.0
8985,310,0,4,1,T,75.0
8990,310,0,9,1,T,64.0
8991,310,0,9,2,T,25.0
8992,310,0,9,3,T,74.0
8994,310,0,9,5,T,29.0
9023,311,0,9,2,T,25.0
9026,311,0,9,5,T,29.0
9042,312,0,2,3,T,53.0
9043,312,0,2,4,T,41.0
9048,312,0,3,4,T,17.0
9053,312,0,6,0,T,34.0
9056,312,0,7,0,T,40.0
9057,312,0,7,1,T,38.0
9099,313,0,9,5,T,31.0
9110,314,0,10,0,T,46.0
9120,314,0,3,3,T,31.0
9209,317,0,9,3,T,66.0
9481,327,0,1,1,T,88.0
9638,332,0,11,0,T,68.0
9791,338,0,1,4,T,28.0
9800,338,0,9,1,T,44.0
9801,338,0,9,2,T,25.0
9863,341,0,11,0,T,58.0
9867,341,0,2,3,T,55.0
9868,341,0,2,4,T,39.0
10022,347,0,11,0,T,54.0
10138,350,0,11,0,T,71.0
10385,358,0,2,0,T,51.0
10398,358,0,9,1,T,42.0
10500,362,0,0,0,T,77.0
10511,362,0,11,0,T,72.0
10512,362,0,2,0,T,50.0
10513,362,0,2,1,T,52.0
10647,367,0,2,1,T,52.0
10648,367,0,2,2,T,27.0
10649,367,0,2,3,T,13.0
10692,369,0,1,1,T,85.0
10701,369,0,6,0,T,34.0
10738,371,0,11,0,T,70.0
10790,373,0,4,1,T,75.0
10878,376,0,1,3,T,42.0
11211,388,0,0,4,T,37.0
11500,398,0,0,3,T,83.0
